trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.75, 'e': 0.9998492896419403}",20,0,-160.96274959789588,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
43,False,"{'a': 0.75, 'e': 0.9998449222046154}",20,0,-91.1164291178832,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.75, 'e': 0.9998404282234692}",20,0,-136.85256021438647,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.9998358040331602}",25,0,-118.30861935612008,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.75, 'e': 0.9998310458622492}",30,0,-145.14164508165692,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.75, 'e': 0.9998261498301338}",20,0,-146.6922575771601,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
48,False,"{'a': 0.75, 'e': 0.999821111943892}",30,0,-150.70008924880094,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.75, 'e': 0.9998159280950366}",25,0,-128.54828986388762,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.75, 'e': 0.9998105940561749}",20,0,-92.25930016850312,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.75, 'e': 0.9998051054775726}",30,0,-71.94651662855307,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.75, 'e': 0.999799457883619}",25,0,-83.01030704966558,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.75, 'e': 0.9997936466691897}",25,0,-145.2577230344929,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
54,False,"{'a': 0.75, 'e': 0.999787667095905}",25,0,-86.45763169071338,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.9997815142882804}",25,0,-158.52254983935873,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 0.75, 'e': 0.9997751832297667}",20,0,-130.8740105198693,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
57,False,"{'a': 0.75, 'e': 0.9997686687586752}",25,0,-73.80452288152163,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.75, 'e': 0.9997619655639868}",20,7,-87.86165309340906,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
59,False,"{'a': 0.75, 'e': 0.9997550681810391}",20,0,-123.01549088357022,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
60,False,"{'a': 0.75, 'e': 0.9997479709870919}",20,0,-104.90996753241214,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.75, 'e': 0.9997406681967612}",30,0,-206.00779916540313,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
62,False,"{'a': 0.75, 'e': 0.9997331538573261}",20,4,-75.83669722192298,"{0: 7, 1: 7, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.75, 'e': 0.9997254218438986}",25,0,-88.57811293429121,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.75, 'e': 0.9997174658544545}",25,0,-118.20806798216091,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
65,False,"{'a': 0.75, 'e': 0.9997092794047221}",20,0,-33.30642224291034,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.9997008558229242}",35,0,-167.7898001483544,"{0: 23, 1: 2, 2: 5, 3: 3, 4: 2}",0
67,False,"{'a': 0.75, 'e': 0.9996921882443686}",25,0,-169.14694653159776,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
68,False,"{'a': 0.75, 'e': 0.9996832696058836}",30,0,-28.316055554165782,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.75, 'e': 0.9996740926400943}",20,0,-110.78246514682536,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
70,False,"{'a': 0.75, 'e': 0.9996646498695336}",30,0,-182.18943123517386,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
71,False,"{'a': 0.75, 'e': 0.9996549336005843}",25,0,-175.4009712397262,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
