trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
711,False,"{'a': 0.75, 'e': 0.15022546991168584}",20,1,10.763551571998569,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
712,False,"{'a': 0.75, 'e': 0.14824786725334482}",20,14,-1.0758050857862835,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.75, 'e': 0.14626967160373244}",20,8,22.89187132124229,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.75, 'e': 0.14429089087562869}",20,14,12.088456122649726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.75, 'e': 0.1423115329841538}",20,15,10.149262398421765,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.75, 'e': 0.14033160584673673}",25,15,5.088250684858055,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
717,False,"{'a': 0.75, 'e': 0.13835111738308337}",25,0,-93.20899078628958,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
718,False,"{'a': 0.75, 'e': 0.13637007551514496}",30,9,26.699538727361016,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
719,False,"{'a': 0.75, 'e': 0.13438848816708632}",20,12,9.80563783658232,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.75, 'e': 0.1324063632652542}",30,18,25.20775326811865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.75, 'e': 0.13042370873814554}",20,9,9.838219406758187,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
722,False,"{'a': 0.75, 'e': 0.12844053251637585}",25,19,4.579677350537784,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.75, 'e': 0.12645684253264733}",20,10,-25.214283060751143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
724,False,"{'a': 0.75, 'e': 0.12447264672171729}",20,0,27.80985896114214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
725,False,"{'a': 0.75, 'e': 0.12248795302036633}",30,17,24.13555940320412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.75, 'e': 0.12050276936736662}",20,10,6.283543771317467,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
727,False,"{'a': 0.75, 'e': 0.11851710370345009}",20,15,9.997328877270196,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.75, 'e': 0.11653096397127678}",20,12,0.09207807156932346,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
729,False,"{'a': 0.75, 'e': 0.11454435811540296}",25,8,6.408910312632659,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
730,False,"{'a': 0.75, 'e': 0.1125572940822494}",20,8,22.679146241308707,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.75, 'e': 0.11056977982006959}",20,10,-18.748888219634928,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
732,False,"{'a': 0.75, 'e': 0.10858182327891792}",20,6,24.678911785637293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.75, 'e': 0.10659343241061792}",20,6,19.254519636657108,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
